철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치,화장실구분
서울교통공사,6호선,고려대(종암),지하,1,내,2,지하 1층 대합실(게이트 안),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,공덕,지하,1,외,7,대합실 1층 7번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,광흥창(서강),지하,2,외,1,대합실 2층 (1256번출구방향),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,구산,지하,1,외,4,대합실 B1층 4번출구 맞은편,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,녹사평(용산구청),지하,1,외,1,대합실 지하1층 1/2번 출구 진입 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,대흥(서강대앞),지하,1,외,4,대합실 1층 4번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,독바위,지하,1,외,1,대합실 B1층 E/S 7호기 옆 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,돌곶이,지하,1,외,6,지하 1층 대합실(6/7번출구 사이),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,동묘앞,지하,1,외,7,대합실 1층 7번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,디지털미디어시티,지하,1,외,4,대합실 지하1층 4번출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,디지털미디어시티,지하,1,내,2,대합실 지하1층 2/3번출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,마포구청,지하,2,외,8,가대합실 지하2층,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,마포구청,지하,1,외,3,나대합실 지하1층 편의점옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,망원,지하,1,외,1,B1 대합실 1번출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,버티고개,지하,1,외,1,대합실 1층 1번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,보문,지하,2,외,1,지하2층 대합실 아이센터 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,봉화산(서울의료원),지하,1,외,2,지하 1층 대합실(고객상담실 옆),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,불광,지하,1,외,6,지하1층 가 대합실 ( 6/7번출구 아래) ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,삼각지,지하,1,외,7,대합실 1층 7/8번 출구 측면,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,상수,지하,2,외,1,B2 대합실 상가 미샤 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,상월곡(한국과학기술연구원),지하,2,외,1, 지하 2층 대합실(1/ 4번출구방면),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,새절(신사),지하,1,외,2,대합실 1층 2번 출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,석계,지하,1,외,7,지하 1층 대합실(7번출구 앞),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,석계,지하,2,내,2,지하 2층 대합실(환승통로),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,신당,지하,1,외,5,대합실 B1층 5~8번출구 나가는 방향 계단 하부,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,안암(고대병원앞),지하,1,외,3,대합실 B1층 3/4번출구 계단 인근,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,안암(고대병원앞),지하,2,내,3,대합실 B2층 봉화산방면 승강장 계단 인근,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 무 / 교통약자(여) : 무
서울교통공사,6호선,약수,지하,1,외,7,대합실 B1 7/8번 출구앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,역촌,지하,1,외,3,대합실 1층 3번출구 옆 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,연신내,지하,1,외,6,대합실 B1층 6/7번출구방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,월곡(동덕여대),지하,1,외,1,지하 1층 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,월드컵경기장(성산),지하,1,외,2,대합실 (B1 2번출구방향 게이트옆),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,월드컵경기장(성산),지하,1,내,1,대합실 (B1 1번출구방향 게이트안쪽),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,응암,지하,1,외,3,대합실 B1층 GS25 편의점 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,이태원,지하,1,외,3,B1 대합실 E/S 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,증산(명지대앞),지하,1,외,1,대합실 1층 1번출구 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,창신,지하,1,내,3,대합실 1층 E/V1호기 뒷편,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,청구,지하,1,외,1,B1 대합실 1번출구 나가는 방향 맞은편 위치,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,6호선,태릉입구,지하,1,외,1,대합실 지하1층 아이센터 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
