철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치
서울교통공사,3호선,구파발,지하,1,외,4,지하1층 대합실 가 게이트 외부
서울교통공사,3호선,연신내,지하,1,내,3,지하 1층 대합실 라 게이트 내부
서울교통공사,3호선,불광,지하,1,외,3,지하1층 대합실 나 게이트 외부
서울교통공사,3호선,녹번,지하,1,외,5,지하1층 대합실 게이트 외부
서울교통공사,3호선,홍제,지하,2,외,2,지하2층 대합실 다게이트 앞
서울교통공사,3호선,무악재,지하,2,내,1,지하2층 대합실 가게이트 내부
서울교통공사,3호선,독립문,지하,2,내,3,지하2층 대합실 나게이트 내부
서울교통공사,3호선,경복궁,지하,2,내,3,지하2층 대합실 가게이트 내부
서울교통공사,3호선,안국,지하,3,외,4,지하3층 대합실 A계단 방면
서울교통공사,3호선,종로3가,지하,3,내,7,지하3층
서울교통공사,3호선,종로3가,지하,2,내,7,지하2층
서울교통공사,3호선,을지로3가,지하,2,내,3,가 대합실 역무실 아래 지하 2층
서울교통공사,3호선,동대입구,지하,2,내,6,"대합실 2층 ""가"" 게이트 앞"
서울교통공사,3호선,약수,지하,1,내,3,(지하1층 게이트 내 대합실)
서울교통공사,3호선,금호,지하,1,내,4,지하1층 가 게이트 내 대합실
서울교통공사,3호선,옥수,지상,3,내,3,3층 환승통로측
서울교통공사,3호선,압구정,지하,1,외,5,지하 1층
서울교통공사,3호선,신사,지하,1,내,4,지하 1층
서울교통공사,3호선,잠원,지하,1,내,4,지하1층 게이트 내 대합실
서울교통공사,3호선,교대,지하,1,외,12,대합실1층 역무실 맞은편/게이트외
서울교통공사,3호선,남부터미널,지하,2,내,1,대합실 B2층 역무실 앞
서울교통공사,3호선,양재,지하,1,내,4,대합실 B1층 상선 방향(9-4)/ 게이트 내
서울교통공사,3호선,매봉,지하,1,외,2,대합실 B1층 게이트옆
서울교통공사,3호선,도곡,지하,1,외,4,대합실  B2층  게이트 밬
서울교통공사,3호선,대치,지하,1,내,6,대합실 B1층 역무실 앞
서울교통공사,3호선,학여울,지하,4,외,1,대합실 B4층 외부 E/V 옆 (게이트외)
서울교통공사,3호선,대청,지하,2,내,4,대합실  B2층 상선 게이트안
서울교통공사,3호선,일원,지하,1,외,7,대합실 B2층 7번출구옆/ 역무실 앞
서울교통공사,3호선,수서,지하,1,내,2,대합실 B1층 역무실좌측(게이트내)
서울교통공사,3호선,가락시장,지하,1,내,2,대합실 B2층 고객상담실앞(게이트내)
서울교통공사,3호선,경찰병원,지하,1,내,2,대합실 B1층 역무실 앞(게이트내)
서울교통공사,3호선,오금,지하,1,내,2,대합실 B1층 1/2번출구옆(게이트내)
서울교통공사,3호선,오금,지하,1,외,2,대합실 B1층 1/2번출구옆(게이트외)
코레일,3호선,대화,지하,1,외,2,2번/3번 출입구 사이
코레일,3호선,마두,지하,1,외,2,(B1) 2번/3번 출입구 중간
코레일,3호선,백석,지하,1,외,4,(B1) 4번출구 방향
코레일,3호선,삼송,지하,1,외,,맞이방 중앙/ 와풀가게 바로 옆
코레일,3호선,원당,지상,2,외,5,(2F) 역무실 옆/  5번/6번출입구 방향
코레일,3호선,원흥,지하,1,외,1,1번맞이방
코레일,3호선,원흥,지하,1,외,6,4번맞이방
코레일,3호선,정발산,지하,1,외,2,(B1) 표내는곳 외/ 1번/2번 출입구 방향
코레일,3호선,주엽,지하,1,외,2,(B1) 맞이방 중앙
코레일,3호선,화정,지하,1,외,1,(B1) 남쪽 수유실 건너편 방향
코레일,3호선,대곡,지상,2,내,,(2F) 맞이방 편의점 옆
