철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치
서울시메트로9호선주식회사,9호선,가양,지하,1,외,3,3번출입구
서울시메트로9호선주식회사,9호선,개화,지상,2,외,2,2번 출입구
서울시메트로9호선주식회사,9호선,고속터미널,지하,2,내,8,8-1번출구
서울시메트로9호선주식회사,9호선,고속터미널,지하,1,외,1,1번출구
서울시메트로9호선주식회사,9호선,고속터미널,지하,1,외,8,8-1번출구
서울시메트로9호선주식회사,9호선,고속터미널,지하,2,내,1,1번출입구
서울시메트로9호선주식회사,9호선,공항시장,지하,1,외,4,4번출구
서울시메트로9호선주식회사,9호선,구반포,지하,1,외,2,2번출입구
서울시메트로9호선주식회사,9호선,국회의사당,지하,2,내,3,3번 출구 E/S 내려온 후 좌측 50M(게이트통과)
서울시메트로9호선주식회사,9호선,국회의사당,지하,2,외,2,2/3번출구
서울시메트로9호선주식회사,9호선,김포공항,지하,1,외,4,4번 출입구
서울시메트로9호선주식회사,9호선,김포공항,지하,1,내,4,4번 출입구
서울시메트로9호선주식회사,9호선,노들,지하,1,외,2,2번 출구
서울시메트로9호선주식회사,9호선,노들,지하,2,외,1,1번 출구
서울시메트로9호선주식회사,9호선,노량진,지하,1,외,3,3번 출구
서울시메트로9호선주식회사,9호선,노량진,지하,1,외,5,5번 출구
서울시메트로9호선주식회사,9호선,노량진,지하,1,내,3,3/ 3-1/ 8번 출구
서울시메트로9호선주식회사,9호선,당산,지하,1,내,7,7번출구
서울시메트로9호선주식회사,9호선,당산,지하,2,내,8,8번출구 E/S 내려온 후 직진 100M(게이트 통과)
서울시메트로9호선주식회사,9호선,동작(현충원),지하,1,외,9,9번출구
서울시메트로9호선주식회사,9호선,동작(현충원),지하,1,내,5,5~9번출구
서울시메트로9호선주식회사,9호선,등촌,지하,1,외,2,2번 출입구
서울시메트로9호선주식회사,9호선,마곡나루,지하,1,외,2,2번 출구
서울시메트로9호선주식회사,9호선,봉은사,지하,1,외,2,2번출구
서울시메트로9호선주식회사,9호선,사평,지하,1,외,1,1번출입구
서울시메트로9호선주식회사,9호선,삼성중앙,지하,1,외,5,5번출구
서울시메트로9호선주식회사,9호선,샛강,지상,1,외,1,1~4번 출구
서울시메트로9호선주식회사,9호선,석촌,지하,2,내,6,지하 2층 대합실 개찰구 내부 근처
서울시메트로9호선주식회사,9호선,석촌,지하,2,외,6,지하 2층 대합실 개찰구 외부 근처
서울시메트로9호선주식회사,9호선,선유도,지하,1,외,7,7번출구
서울시메트로9호선주식회사,9호선,선정릉,지하,1,외,3,3번출구 옆
서울시메트로9호선주식회사,9호선,신논현,지하,2,외,5,5번출입구
서울시메트로9호선주식회사,9호선,신목동,지하,2,외,2,2번출입구
서울시메트로9호선주식회사,9호선,신반포,지하,1,외,4,4번출입구
서울시메트로9호선주식회사,9호선,신방화,지하,1,외,3,3번출구
서울시메트로9호선주식회사,9호선,양천향교,지하,1,외,3,3번 출입구
서울시메트로9호선주식회사,9호선,언주,지하,1,외,3,2번 출구 근처 E/V 하차 후 좌측으로 20M 
서울시메트로9호선주식회사,9호선,여의도,지하,1,외,4,4번출구
서울시메트로9호선주식회사,9호선,여의도,지하,2,내,4,4번출구
서울시메트로9호선주식회사,9호선,여의도,지하,1,외,2,2/3번출구
서울시메트로9호선주식회사,9호선,염창,지하,1,외,4,4번출입구
서울시메트로9호선주식회사,9호선,올림픽공원(한국체대),지하,1,외,1,지하 1층 대합실 개찰구 근처
서울시메트로9호선주식회사,9호선,올림픽공원(한국체대),지상,1,내,1,지하 1층 대합실 개찰구 통과 후 승강장 방향 계단 옆
서울시메트로9호선주식회사,9호선,종합운동장,지하,1,외,9,지하 1층 대합실 9번 출입구 방향
서울시메트로9호선주식회사,9호선,증미,지하,1,외,1,1번 출입구
서울시메트로9호선주식회사,9호선,흑석(중앙대입구),지상,1,외,1,1번출구
서울시메트로9호선주식회사,9호선,삼전,지하,1,외,3,3/ 4번 출입구 사이
서울시메트로9호선주식회사,9호선,석촌고분,지하,1,외,3,지하 1층 대합실 3/ 4번 출입구 사이
서울시메트로9호선주식회사,9호선,송파나루,지하,1,외,1,지하 1층 대합실 1/ 2번 출입구 계단 옆
서울시메트로9호선주식회사,9호선,한성백제,지하,1,외,1,지하 1층 대합실 1/ 2번 출입구 사이
서울시메트로9호선주식회사,9호선,둔촌오륜,지하,1,외,1,지하 1층 대합실 1/ 2번 출입구 방향
서울시메트로9호선주식회사,9호선,중앙보훈병원,지하,1,외,1,지하 1층 대합실 1번 출입구 방향 계단 옆
