철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치
서울교통공사,8호선,가락시장,지하,1,외,2, B1층 대합실과 가락몰 연결통로 사이
서울교통공사,8호선,강동구청,지하,2,외,4,대합실 B2층 게이트 옆
서울교통공사,8호선,남한산성입구(성남법원·검찰청),지하,2,외,1,대합실 지하2층 에스컬레이터 근처
서울교통공사,8호선,단대오거리,지하,1,외,6,대합실 지하1층 2호기E/V 옆
서울교통공사,8호선,모란,지하,2,외,10,B2층 대합실 상행 E/S 옆
서울교통공사,8호선,몽촌토성(평화의문),지하,1,외,1,대합실 B1층 1/2/3번 출구 방향
서울교통공사,8호선,문정,지하,1,외,2,대합실 B1층 2번출구 방향
서울교통공사,8호선,복정,지하,1,외,1,대합실 지하1층 아이센터 근처
서울교통공사,8호선,산성,지하,1,외,1,B1층 1/2번 출구 계단 오른쪽
서울교통공사,8호선,석촌,지하,1,외,7,대합실 B1층 게이트 옆
서울교통공사,8호선,송파,지하,1,외,1,대합실 B1층 1번출구 방향
서울교통공사,8호선,수진,지하,1,외,1,대합실 지하1층 편의점 옆
서울교통공사,8호선,신흥,지하,1,외,1,B1층 대합실 1/2번 출구방면
서울교통공사,8호선,암사,지하,1,외,2,대합실 B1층 2번 출구 방향
서울교통공사,8호선,잠실(송파구청),지하,1,외,11,B1층 11번 출구 옆
서울교통공사,8호선,장지,지하,1,외,3,대합실 B1층 3/4번출구 방면 
서울교통공사,8호선,남위례,지상,2,외,1,대합실 지상2층 주출입구 근처
