철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치,화장실구분
코레일,4호선,경마공원,지하,1,외,5,맞이방 중앙,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,고잔,지상,1,내,1,개찰구 안쪽 상.하행 계단 올라가는 곳 중간,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,과천,지하,1,내,2,(B1) 표 내는 곳  내 계단 옆/ 1번/2번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,금정,지상,1,내,,(1)승강장 8-3,남녀일반화장실
코레일,4호선,금정,지상,2,외,6,(2)개찰구 옆,남녀일반화장실/ 교통약자화장실(남/여)
코레일,4호선,금정,지상,2,외,1,(2)개찰구 옆,남녀일반화장실
코레일,4호선,금정,지상,1,내,,(1)승강장 3-4,남녀일반화장실
코레일,4호선,대공원,지하,1,외,2,(B1) 상행 표내는곳 외부 옆/ 스토리웨이 매장 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,대야미,지상,1,외,2,(1F)/ 맞이방/ 2번출구 방향/ 발매기 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,반월,지상,1,외,1,1층 1번출입구 맞이방 내,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,범계,지하,1,외,4,(B1)표내는곳 옆/ 4-1번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,산본,지상,3,외,2,(3F) 대합실 중앙/ 이디야 맞은편/ 강경렌트카 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,상록수,지상,1,내,3,(1층) 표 내는 곳 내 역무실 맞은편/ 3번/4번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,상록수,지상,1,외,1,(1층) 표 내는 곳 옆/ 2번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,선바위,지하,1,외,1,(B1) 맞이방 상행(남태령방향) 표내는곳 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,수리산,지상,2,외,2,(2F) 2번/3번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,수리산,지상,2,외,3,(2F) 2번/3번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,신길온천,지상,2,외,2,(2층) 대합실 게이트에서 우측방향으로 15m ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,안산,지상,2,외,1,(1층) 자유통로 1번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,오이도,지상,3,외,1,(3층) 맞이방 옆/ 1번/2번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,인덕원,지하,1,외,2,(B1) 남쪽게이트 18m 옆/ 2번/3번 출구 40m 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,정부과천청사,지하,1,내,8,(B1) 맞이방 표내는곳 안쪽 중간,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,정왕,지상,1,외,2,1번/2번 출입구안쪽 대합실 고객지원실 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,중앙,지상,1,내,1,(1층) 표내는곳 내 오이도방향 계단 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,초지,지상,1,내,1,(1F) 맞이방 표 내는 곳 안쪽 계단통로 가운데 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
