철도운영기관명,선명,역명,지상지하구분,역층,게이트내외,출구번호,상세위치,화장실구분
코레일,4호선,평촌,지하,1,외,2,(B1) 2번출구 나가기 전/ 3번/4번 출입구 방향,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
코레일,4호선,한대앞,지상,2,내,1,(2층)개찰구 내 에스컬레이터 옆 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,길음,지하,1,외,5,지하1층 대합실 가게이트 밖,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,남태령,지하,2,내,2,(지하2층 역무실 옆),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,노원,지상,2,내,9,2층 대합실 나게이트 안,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,당고개,지상,1,외,4,대합실 1층 (1/4 출구방향),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,당고개,지상,2,외,3,대합실 2층 역무실 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 무 / 교통약자(여) : 무
서울교통공사,4호선,동대문,지하,2,내,9,지하2층,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,동대문역사문화공원,지하,2,내,8,지하2층 내부계단 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,동대문역사문화공원,지하,1,외,8,지하1층 10/11번 기둥앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,동작(현충원),지상,2,내,1,대합실 2층 구내식당좌측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,명동,지하,1,내,5,지하1층 2/3/4/5/6/7/8번 출구쪽/ 게이트내,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,미아,지하,1,외,6,대합실 지하1층 교양휴게실 앞 (3/4번 게이트방향),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,미아사거리,지하,1,외,6,지하1층 역무실 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,사당,지하,2,내,12,(지하2층 환승통로),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,사당,지하,1,외,12,(지하1층 총신대측),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,사당,지하,1,외,3,(지하1층 남태령측),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,삼각지,지하,1,외,3,지하1층 신용산측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,상계,지상,2,내,4,2층 대합실 나게이트 안,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,서울역,지하,1,외,11,11번 출구 옆,일반(남) : 유 / 일반(여) : 무 / 교통약자(남) : 유 / 교통약자(여) : 무
서울교통공사,4호선,서울역,지하,1,외,10,10번 출구 옆,일반(남) : 무 / 일반(여) : 유 / 교통약자(남) : 무 / 교통약자(여) : 유
서울교통공사,4호선,성신여대입구(돈암),지하,1,내,4,지하1층 고객 안내부스에서 10m 안쪽,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,수유(강북구청),지하,1,내,2,대합실 지하1층 역무실 옆(2/8번 출구방향),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,숙대입구(갈월),지하,1,외,9,지하1층 가대합실과 나대합실 연결통로 가운데 위치,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,신용산,지하,1,외,4,지하1층 삼각지측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,쌍문,지하,1,외,2,지하1층 나환기실 옆,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,이촌(국립중앙박물관),지하,1,내,3,지하1층 3번출구 앞,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,창동,지상,2,내,1,2층 대합실 나게이트 안,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,총신대입구(이수),지하,1,내,1,지하1층 동작측,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,충무로,지하,2,내,3,지하2층 3/4/5/6/7번 출구쪽/ 게이트내,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,한성대입구(삼선교),지하,1,외,7,1번출구방향/ 가게이트 쪽(게이트외),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 무 / 교통약자(여) : 무
서울교통공사,4호선,혜화,지하,1,외,8,(지하1층 3번출구 방면),일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
서울교통공사,4호선,회현(남대문시장),지하,2,내,3,게이트내 지하2층 ,일반(남) : 유 / 일반(여) : 유 / 교통약자(남) : 유 / 교통약자(여) : 유
